id;Marca;Modelo;Km;Cilindrada;Caballos;Año;Combustible;Provincia;Transmision;Traccion;Tipo;Puertas;Color;Asientos;Tipo de vendedor;Precio;Url
55019541;toyota;avensis;162000;1998;124;2012;diesel;Barcelona;manual;delantera;berlina;4;white;5;particular;7900;https://www.coches.net/toyota-avensis-120d-executive-4p-diesel-2012-en-barcelona-55019541-covo.aspx
54499936;toyota;yaris;64707;1496;111;2020;gasolina;Valencia;manual;delantera;berlina;5;gray;5;profesional;15350;https://www.coches.net/toyota-yaris-15-110-feel-5p-gasolina-2020-en-valencia-54499936-covo.aspx
53640000;toyota;aygo;40971;998;69;2018;gasolina;Madrid;manual;delantera;berlina;3;white;4;profesional;12890;https://www.coches.net/toyota-aygo-10-70-xplay-gasolina-2018-en-madrid-53640000-covo.aspx
55132910;toyota;corolla;15313;1798;122;2022;hibrido;Madrid;automatic;delantera;berlina;5;black;5;profesional;23999;https://www.coches.net/toyota-corolla-18-125h-active-tech-ecvt-5p-electrico-hibrido-2022-en-madrid-55132910-covo.aspx
55132906;toyota;chr;33911;1798;122;2022;hibrido;Madrid;automatic;delantera;berlina;5;brown;5;profesional;24999;https://www.coches.net/toyota-chr-18-125h-active-5p-electrico-hibrido-2022-en-madrid-55132906-covo.aspx
55132867;toyota;yaris;74468;1497;100;2013;hibrido;Sevilla;automatic;delantera;berlina;5;white;5;profesional;10999;https://www.coches.net/toyota-yaris-hybrid-active-5p-electrico-hibrido-2014-en-sevilla-55132867-covo.aspx
55132870;toyota;auris;115551;1798;136;2017;hibrido;Sevilla;automatic;delantera;familiar;5;white;5;profesional;14699;https://www.coches.net/toyota-auris-18-140h-feel-touring-sports-5p-electrico-hibrido-2017-en-sevilla-55132870-covo.aspx
55132874;toyota;chr;153197;1798;122;2017;hibrido;Sevilla;automatic;delantera;berlina;5;gray;5;profesional;17499;https://www.coches.net/toyota-chr-18-125h-dynamic-plus-5p-electrico-hibrido-2017-en-sevilla-55132874-covo.aspx
54835110;toyota;chr;22000;1798;122;2022;hibrido;Girona;automatic;delantera;berlina;5;black;5;profesional;25600;https://www.coches.net/toyota-chr-18-125h-advance-otros-2022-en-girona-54835110-covo.aspx
55132861;toyota;yaris;80000;998;69;2014;gasolina;Barcelona;manual;delantera;berlina;5;gray;5;profesional;8500;https://www.coches.net/toyota-yaris-70-active-gasolina-2014-en-barcelona-55132861-covo.aspx
55039560;toyota;yaris;82000;1329;99;2016;gasolina;Girona;manual;delantera;berlina;5;white;5;profesional;10500;https://www.coches.net/toyota-yaris-100-active-gasolina-2016-en-girona-55039560-covo.aspx
55041360;toyota;yaris cross;20;1490;116;2023;hibrido;Girona;automatic;delantera;4x4 suv;5;blue;5;profesional;25600;https://www.coches.net/toyota-yaris-cross-15-120h-active-tech-otros-2023-en-girona-55041360-covo.aspx
55126422;toyota;aygo;62658;998;72;2019;gasolina;Las Palmas;manual;delantera;berlina;5;red;4;profesional;11995;https://www.coches.net/toyota-aygo-10-70-xplay-5p-gasolina-2019-en-las_palmas-55126422-covo.aspx
54777451;toyota;verso;148000;1998;126;2010;diesel;Vizcaya;manual;delantera;monovolumen;5;gray;5;profesional;8999;https://www.coches.net/toyota-verso-20-d4d-active-5pl-diesel-2010-en-vizcaya-54777451-covo.aspx
54959295;toyota;corolla;57560;1798;122;2020;hibrido;Madrid;automatic;delantera;familiar;5;gray;5;profesional;22490;https://www.coches.net/toyota-corolla-20-180h-active-tech-ecvt-touring-sport-5p-otros-2020-en-madrid-54959295-covo.aspx
54844306;toyota;yaris;108510;998;69;2010;gasolina;Tarragona;manual;delantera;berlina;5;beige;5;profesional;6990;https://www.coches.net/toyota-yaris-10-vvti-live-gasolina-2010-en-tarragona-54844306-covo.aspx
55025386;toyota;yaris;87400;1329;99;2012;gasolina;Alicante;manual;delantera;berlina;5;white;5;particular;7300;https://www.coches.net/toyota-yaris-100-active-5p-gasolina-2012-en-alicante-55025386-covo.aspx
55114441;toyota;chr;89167;1798;122;2018;hibrido;Almería;automatic;delantera;berlina;5;white;5;particular;21800;https://www.coches.net/toyota-chr-18-125h-advance-pplus-p-luxury-5p-electrico-hibrido-2018-en-almeria-55114441-covo.aspx
55132586;toyota;prius;175000;1798;136;2011;hibrido;Madrid;automatic;delantera;berlina;5;gray;5;profesional;11590;https://www.coches.net/toyota-prius-18-hsd-eco-5p-electrico-hibrido-2011-en-madrid-55132586-covo.aspx
55132542;toyota;auris;60000;1998;126;2007;diesel;Madrid;manual;delantera;berlina;5;blue;5;profesional;7490;https://www.coches.net/toyota-auris-20-d4d-luna-5p-diesel-2007-en-madrid-55132542-covo.aspx
55130764;toyota;avensis;96238;1794;129;2005;gasolina;Valencia;manual;delantera;berlina;4;gray;5;particular;4500;https://www.coches.net/toyota-avensis-18-vvti-sol-4p-gasolina-2005-en-valencia-55130764-covo.aspx
53593686;toyota;c-hr;43500;1798;122;2018;hibrido;Málaga;automatic;delantera;berlina;5;garnet;5;particular;21900;https://www.coches.net/toyota-c-hr-18-125h-advance-pplus-p-luxury-5p-electrico-hibrido-2018-en-malaga-53593686-covo.aspx
54972292;toyota;yaris;207000;1296;87;2006;gasolina;Sevilla;manual;delantera;berlina;5;blue;5;particular;4000;https://www.coches.net/toyota-yaris-13-vvti-sol-5p-gasolina-2006-en-sevilla-54972292-covo.aspx
55132404;toyota;verso;53000;1598;132;2017;gasolina;Baleares;manual;delantera;monovolumen;5;gray;7;particular;16200;https://www.coches.net/toyota-verso-16-130-advance-7pl-5p-gasolina-2017-en-baleares-55132404-covo.aspx
55132275;toyota;auris;78000;1798;136;2013;hibrido;Barcelona;automatic;delantera;berlina;5;gray;5;particular;15200;https://www.coches.net/toyota-auris-hybrid-advance-5p-electrico-hibrido-2013-en-barcelona-55132275-covo.aspx
55132162;toyota;proace city verso;43600;1499;131;2020;diesel;Jaén;manual;delantera;monovolumen;5;gray;5;profesional;23990;https://www.coches.net/toyota-proace-city-verso-15d-96kw-130cv-family-active-l1-5p-diesel-2020-en-jaen-55132162-covo.aspx
55132137;toyota;rav4;92990;2494;197;2018;hibrido;Murcia;automatic;delantera;4x4 suv;5;white;5;profesional;25499;https://www.coches.net/toyota-rav4-25l-hybrid-2wd-advance-pack-drive-otros-2018-en-murcia-55132137-covo.aspx
55037312;toyota;auris;48000;1798;136;2018;hibrido;Sta. C. Tenerife;automatic;delantera;berlina;5;white;5;profesional;15990;https://www.coches.net/toyota-auris-18-140h-hybrid-active-otros-2018-en-sta_c_tenerife-55037312-covo.aspx
55131983;toyota;corolla verso;239000;2231;177;2006;diesel;Madrid;manual;delantera;monovolumen;5;gray;7;profesional;4690;https://www.coches.net/toyota-corolla-verso-22-d4d-177cv-sport-diesel-2006-en-madrid-55131983-covo.aspx
55131982;toyota;yaris verso;191000;1299;84;2003;gasolina;Madrid;automatic;delantera;monovolumen;5;beige;5;profesional;3590;https://www.coches.net/toyota-yaris-verso-13-vvti-auto-luna--gasolina-2003-en-madrid-55131982-covo.aspx
